iter	Passed	Remaining
540	35095	29775
541	35158	29709
542	35221	29643
543	35285	29577
544	35348	29511
545	35415	29447
546	35476	29379
547	35536	29311
548	35595	29241
549	35663	29179
550	35721	29108
551	35781	29039
552	35847	28976
553	35915	28914
554	35963	28835
555	36026	28769
556	36094	28707
557	36167	28648
558	36236	28587
559	36287	28511
560	36350	28445
561	36421	28385
562	36488	28322
563	36541	28248
564	36585	28167
565	36644	28098
566	36702	28028
567	36768	27964
568	36825	27894
569	36899	27836
570	36947	27758
571	37007	27690
572	37055	27613
573	37118	27547
574	37186	27485
575	37255	27424
576	37313	27354
577	37377	27289
578	37444	27226
579	37507	27160
580	37573	27096
581	37623	27021
582	37680	26951
583	37728	26875
584	37788	26807
585	37858	26746
586	37908	26671
587	37968	26603
588	38031	26537
589	38097	26474
590	38161	26409
591	38225	26344
592	38288	26278
593	38355	26216
594	38420	26151
595	38493	26092
596	38553	26024
597	38630	25969
598	38697	25905
599	38762	25841
600	38830	25779
601	38897	25716
602	38960	25650
603	39018	25581
604	39091	25522
605	39166	25464
606	39229	25398
607	39290	25331
608	39352	25266
609	39416	25200
610	39481	25136
611	39543	25070
612	39607	25004
613	39661	24934
614	39718	24864
615	39783	24799
616	39852	24738
617	39921	24676
618	39983	24610
619	40050	24547
620	40108	24478
621	40178	24417
622	40241	24351
623	40309	24289
624	40374	24224
625	40438	24159
626	40501	24094
627	40568	24030
628	40632	23966
629	40695	23900
630	40757	23834
631	40825	23771
632	40892	23708
633	40956	23643
634	41019	23578
635	41078	23510
636	41143	23445
637	41211	23383
638	41275	23318
639	41342	23255
640	41393	23183
641	41451	23114
642	41506	23044
643	41573	22981
644	41630	22912
645	41691	22846
646	41750	22778
647	41808	22710
648	41878	22649
649	41943	22584
650	42008	22520
651	42062	22450
652	42123	22384
653	42189	22320
654	42249	22253
655	42311	22187
656	42379	22124
657	42443	22060
658	42507	21995
659	42570	21930
660	42634	21865
661	42699	21801
662	42754	21732
663	42818	21667
664	42880	21601
665	42938	21533
666	42995	21465
667	43058	21400
668	43121	21335
669	43189	21272
670	43253	21207
671	43313	21141
672	43376	21076
673	43437	21009
674	43483	20936
675	43549	20872
676	43620	20811
677	43689	20749
678	43751	20683
679	43819	20620
680	43896	20562
681	43962	20498
682	44019	20430
683	44084	20366
684	44148	20301
685	44200	20231
686	44265	20167
687	44320	20098
688	44384	20034
689	44449	19970
690	44511	19904
691	44570	19837
692	44633	19772
693	44699	19708
694	44759	19642
695	44821	19577
696	44886	19512
697	44950	19448
698	45013	19383
699	45073	19317
700	45139	19253
701	45199	19187
702	45259	19121
703	45317	19053
704	45385	18991
705	45446	18925
706	45513	18861
707	45580	18798
708	45645	18734
709	45716	18672
710	45786	18610
711	45838	18541
712	45897	18474
713	45945	18403
714	46008	18338
715	46069	18273
716	46133	18208
717	46201	18145
718	46261	18079
719	46328	18016
720	46385	17949
721	46449	17884
722	46515	17821
723	46581	17757
724	46644	17692
725	46703	17626
726	46770	17563
727	46835	17498
728	46897	17433
729	46961	17369
730	47024	17304
731	47089	17240
732	47147	17173
733	47214	17110
734	47276	17045
735	47348	16983
736	47412	16919
737	47478	16855
738	47534	16788
739	47599	16724
740	47658	16658
741	47716	16591
742	47779	16526
743	47842	16461
744	47905	16397
745	47970	16333
746	48038	16270
747	48099	16204
748	48163	16140
749	48227	16075
750	48287	16010
751	48353	15946
752	48424	15884
753	48485	15818
754	48549	15754
755	48609	15688
756	48674	15624
757	48735	15559
758	48795	15493
759	48853	15427
760	48920	15364
761	48986	15300
762	49055	15237
763	49127	15175
764	49189	15110
765	49254	15046
766	49319	14982
767	49385	14918
768	49438	14850
769	49507	14788
770	49571	14723
771	49639	14660
772	49706	14596
773	49764	14530
774	49831	14467
775	49897	14403
776	49959	14338
777	50029	14275
778	50090	14210
779	50158	14147
780	50221	14082
781	50278	14016
782	50350	13954
783	50415	13890
784	50467	13822
785	50532	13758
786	50587	13691
787	50653	13627
788	50722	13564
789	50787	13500
790	50846	13434
791	50901	13368
792	50966	13304
793	51036	13241
794	51101	13177
795	51164	13112
796	51228	13048
797	51294	12984
798	51359	12920
799	51423	12855
800	51488	12791
801	51555	12728
802	51613	12662
803	51678	12598
804	51738	12532
805	51810	12470
806	51878	12407
807	51947	12343
808	52010	12279
809	52069	12213
810	52133	12149
811	52200	12085
812	52266	12021
813	52326	11956
814	52394	11893
815	52462	11829
816	52529	11766
817	52596	11702
818	52655	11636
819	52726	11574
820	52792	11510
821	52864	11447
822	52927	11383
823	52994	11319
824	53059	11255
825	53123	11190
826	53184	11125
827	53247	11060
828	53310	10996
829	53376	10932
830	53442	10868
831	53498	10802
832	53560	10737
833	53627	10673
834	53685	10608
835	53751	10544
836	53815	10480
837	53883	10416
838	53940	10350
839	54004	10286
840	54061	10220
841	54107	10153
842	54162	10087
843	54226	10022
844	54289	9958
845	54350	9893
846	54406	9827
847	54473	9764
848	54545	9701
849	54601	9635
850	54651	9568
851	54724	9506
852	54778	9440
853	54843	9376
854	54918	9313
855	54983	9249
856	55050	9185
857	55122	9122
858	55185	9058
859	55248	8993
860	55310	8929
861	55379	8865
862	55439	8800
863	55501	8736
864	55560	8671
865	55626	8607
866	55684	8542
867	55747	8477
868	55815	8414
869	55883	8350
870	55945	8285
871	56002	8220
872	56066	8156
873	56132	8092
874	56191	8027
875	56256	7963
876	56316	7898
877	56370	7832
878	56437	7768
879	56503	7705
880	56561	7639
881	56631	7576
882	56697	7512
883	56757	7447
884	56820	7383
885	56878	7318
886	56942	7254
887	56995	7188
888	57060	7124
889	57128	7060
890	57196	6997
891	57263	6933
892	57333	6869
893	57402	6806
894	57468	6742
895	57539	6678
896	57606	6614
897	57674	6551
898	57741	6487
899	57810	6423
900	57874	6359
901	57941	6295
902	58007	6231
903	58079	6167
904	58140	6103
905	58207	6039
906	58253	5973
907	58311	5908
908	58373	5843
909	58431	5778
910	58492	5714
911	58544	5649
912	58607	5584
913	58680	5521
914	58747	5457
915	58813	5393
916	58884	5329
917	58952	5265
918	59020	5202
919	59083	5137
920	59144	5073
921	59209	5009
922	59269	4944
923	59337	4880
924	59405	4816
925	59468	4752
926	59535	4688
927	59601	4624
928	59658	4559
929	59718	4494
930	59785	4430
931	59840	4366
932	59903	4301
933	59975	4238
934	60041	4174
935	60115	4110
936	60180	4046
937	60228	3981
938	60287	3916
939	60360	3852
940	60421	3788
941	60479	3723
942	60542	3659
943	60606	3595
944	60673	3531
945	60745	3467
946	60812	3403
947	60877	3339
948	60936	3274
949	61000	3210
950	61054	3145
951	61122	3081
952	61192	3017
953	61258	2953
954	61323	2889
955	61389	2825
956	61454	2761
957	61511	2696
958	61570	2632
959	61642	2568
960	61705	2504
961	61771	2440
962	61835	2375
963	61905	2311
964	61972	2247
965	62040	2183
966	62106	2119
967	62171	2055
968	62235	1991
969	62301	1926
970	62362	1862
971	62427	1798
972	62489	1734
973	62555	1669
974	62620	1605
975	62687	1541
976	62753	1477
977	62821	1413
978	62881	1348
979	62947	1284
980	63010	1220
981	63074	1156
982	63133	1091
983	63201	1027
984	63267	963
985	63327	899
986	63394	834
987	63455	770
988	63521	706
989	63584	642
990	63652	578
991	63719	513
992	63784	449
993	63861	385
994	63918	321
995	63983	256
996	64032	192
997	64082	128
998	64134	64
999	64202	0
